K,ELE
80000,0
80100,35
80200,28
80300,27
80400,29
80500,30
80600,31
80700,36
80800,27
80900,27
81000,27
81100,38
81200,29
81300,30
81400,32
81500,33
81600,35
81700,36
81800,37
81900,49
82000,40
82100,53
82200,40
82300,40
82400,42
82500,47
82600,49
82700,47
82800,50
82900,55
83000,57
83100,59
83200,60
83300,62
83400,59
83500,67
83600,70
83700,76
83800,87
83900,81
84000,92
84100,83
84200,118
84300,148
84400,154
84500,143
84600,163
84700,177
84800,192
84900,222
85000,240
85100,229
85200,177
85300,185
85400,123
85500,98
85600,118
85700,127
85800,135
85900,105
86000,104
86100,110
86200,113
86300,123
86400,112
86500,117
86600,140
86700,145
86800,153
86900,170
87000,202
87100,234
87200,309
87300,338
87400,361
87500,296
87600,287
87700,218
87800,220
87900,218
88000,256
88100,249
88200,267
88300,250
88400,257
88500,309
88600,318
88700,343
88800,317
88900,309
89000,263
89100,240
89200,204
89300,171
89400,150
89500,146
89600,135
89700,138
89800,144
89900,135
90000,132
90100,141
90200,133
90300,125
90400,114
90500,117
90600,116
90700,108
90800,117
90900,119
91000,117
91100,115
91200,116
91300,116
91400,114
91500,111
91600,104
91700,94
91800,89
91900,82
92000,91
92100,92
92200,86
92300,82
92400,78
92500,70
92600,63
92700,62
92800,61
92900,61
93000,61
93100,66
93200,74
93300,80
93400,88
93500,88
93600,81
93700,73
93800,61
93900,61
94000,62
94100,63
94200,72
94300,78
94400,76
94500,95
94600,92
94700,81
94800,73
94900,80
95000,91
95100,89
95200,106
95300,94
95400,95
95500,110
95600,129
95700,120
95800,123
95900,116
96000,115
96100,109
96200,107
96300,102
96400,111
96500,114
96600,122
96700,124
96800,122
96900,112
97000,115
97100,113
97200,102
97300,85
97400,82
97500,89
97600,81
97700,82
97800,98
97900,109
98000,110
98100,110
98200,102
98300,91
98400,109
98500,123
98600,121
98700,123
98800,124
98900,107
99000,115
99100,107
99200,114
99300,127
99400,120
99500,134
99600,142
99700,148
99800,149
99900,143
100000,138
100100,139
100200,128
100300,135
100400,131
100500,117
100600,108
100700,105
100800,106
100900,104
101000,118
101100,123
101200,121
101300,114
101400,104
101500,101
101600,105
101700,108
101800,95
101900,89
102000,104
102100,96
102200,99
102300,100
102400,97
102500,105
102600,98
102700,108
102800,100
102900,101
103000,96
103100,91
103200,95
103300,88
103400,74
103500,83
103600,68
103700,67
103800,70
103900,80
104000,87
104100,100
104200,103
104300,100
104400,107
104500,104
104600,110
104700,120
104800,120
104900,116
105000,106
105100,102
105200,109
105300,119
105400,138
105500,164
105600,161
105700,159
105800,176
105900,171
106000,166
106100,159
106200,158
106300,155
106400,147
106500,150
106600,157
106700,157
106800,161
106900,151
107000,152
107100,162
107200,165
107300,175
107400,173
107500,174
107600,158
107700,170
107800,178
107900,182
108000,176
108100,180
108200,176
108300,174
108400,168
108500,170
108600,168
108700,164
108800,157
108900,158
109000,150
109100,151
109200,147
109300,143
109400,152
109500,149
109600,153
109700,151
109800,154
109900,162
110000,162
110100,155
110200,152
110300,150
110400,152
110500,151
110600,151
110700,150
110800,145
110900,138
111000,143
111100,145
111200,142
111300,143
111400,143
111500,141
111600,138
111700,133
111800,138
111900,139
112000,134
112100,130
112200,134
112300,132
112400,128
112500,126
112600,128
112700,129
112800,128
112900,126
113000,124
113100,123
113200,119
113300,119
113400,113
113500,110
113600,110
113700,111
113800,112
113900,112
114000,118
114100,120
114200,124
114300,141
114400,145
114500,144
114600,151
114700,158
114800,170
114900,182
115000,204
115100,214
115200,232
115300,206
115400,190
115500,179
115600,162
115700,152
115800,163
115900,155
116000,153
116100,153
116200,153
116300,153
116400,160
116500,166
116600,157
116700,154
116800,152
116900,149
117000,154
117100,138
117200,141
117300,138
117400,126
117500,128
117600,140
117700,143
117800,165
117900,169
118000,158
118100,148
118200,134
118300,144
118400,137
118500,140
118600,163
118700,136
118800,153
118900,137
119000,151
119100,127
119200,114
119300,110
119400,111
119500,116
119600,122
119700,117
119800,102
119900,111
120000,99
120100,100
120200,109
120300,115
120400,98
120500,97
120600,97
120700,98
120800,101
120900,97
121000,95
121100,104
121200,102
121300,88
121400,87
121500,97
121600,87
121700,96
121800,85
121900,83
122000,83
122100,85
122200,82
122300,82
122400,82
122500,80
122600,92
122700,90
122800,93
122900,91
123000,106
123100,108
123200,114
123300,112
123400,107
123500,102
123600,108
123700,96
123800,105
123900,94
124000,95
124100,95
124200,95
124300,106
124400,92
124500,90
124600,87
124700,84
124800,91
124900,82
125000,83
125100,101
125200,96
125300,98
125400,103
125500,86
125600,101
125700,83
125800,97
125900,85
126000,96
126100,90
126200,91
126300,93
126400,92
126500,87
126600,96
126700,104
126800,102
126900,103
127000,101
127100,102
127200,101
127300,106
127400,102
127500,103
127600,105
127700,96
127800,93
127900,88
128000,89
128100,99
128200,80
128300,81
128400,81
128500,77
128600,78
128700,79
128800,78
128900,79
129000,78
129100,92
129200,82
129300,86
129400,86
129500,86
129600,87
129700,83
129800,88
129900,89
130000,95
130100,92
130200,113
130300,99
130400,100
130500,105
130600,107
130700,120
130800,107
130900,114
131000,117
131100,124
131200,124
131300,126
131400,130
131500,135
131600,131
131700,131
131800,117
131900,114
132000,115
132100,112
132200,121
132300,110
132400,134
132500,119
132600,115
132700,123
132800,118
132900,127
133000,127
133100,119
133200,114
133300,115
133400,103
133500,107
133600,103
133700,111
133800,110
133900,97
134000,97
134100,91
134200,90
134300,88
134400,96
134500,87
134600,81
134700,82
134800,81
134900,81
135000,82
135100,85
135200,77
135300,79
135400,96
135500,98
135600,94
135700,84
135800,84
135900,83
136000,100
136100,85
136200,103
136300,105
136400,88
136500,92
136600,97
136700,99
136800,113
136900,114
137000,105
137100,103
137200,95
137300,85
137400,95
137500,114
137600,119
137700,128
137800,117
137900,108
138000,128
138100,116
138200,103
138300,102
138400,102
138500,102
138600,91
138700,92
138800,84
138900,82
139000,86
139100,97
139200,99
139300,88
139400,90
139500,90
139600,90
139700,93
139800,91
139900,95
140000,94
140100,92
140200,92
140300,89
140400,103
140500,92
140600,109
140700,116
140800,97
140900,110
141000,112
141100,116
141200,123
141300,130
141400,127
141500,133
141600,125
141700,124
141800,129
141900,128
142000,140
142100,142
142200,137
142300,142
142400,137
142500,137
142600,141
142700,139
142800,155
142900,169
143000,156
143100,130
143200,130
143300,136
143400,136
143500,125
143600,122
143700,116
143800,114
143900,109
144000,106
144100,117
144200,103
144300,115
144400,121
144500,108
144600,115
144700,122
144800,125
144900,126
145000,127
145100,127
145200,128
145300,134
145400,137
145500,141
145600,148
145700,148
145800,148
145900,146
146000,144
146100,141
146200,141
146300,136
146400,144
146500,139
146600,137
146700,130
146800,129
146900,126
147000,124
147100,123
147200,121
147300,121
147400,119
147500,115
147600,115
147700,118
147800,119
147900,118
148000,117
148100,113
148200,109
148300,108
148400,107
148500,105
148600,103
148700,97
148800,87
148900,86
149000,93
149100,101
149200,109
149300,114
149400,115
149500,114
149600,113
149700,113
149800,111
149900,111
150000,109
150100,109
150200,110
150300,111
150400,111
150500,111
150600,113
150700,115
150800,120
150900,120
151000,123
151100,135
151200,137
